index,pm1,pm25,pm10,temperature,humidity,gas_resistance,aqi
0,77,135,144,29.7,44.7,47,192
1,77,135,144,29.7,44.7,47,192
2,68,116,120,29.57,44.18,14,182
3,67,117,124,29.55,44.17,16,182
4,68,118,125,29.55,44.21,19,183
5,67,116,124,29.55,44.25,20,182
6,65,115,121,29.55,44.29,22,181
7,66,115,120,29.55,44.47,22,181
8,67,116,121,29.56,44.32,23,182
9,67,117,124,29.56,44.18,24,182
10,67,114,122,29.56,44.48,24,181
11,67,113,121,29.56,44.36,25,180
12,68,112,118,29.56,44.17,25,180
13,67,111,119,29.56,44.12,25,179
14,68,114,121,29.56,44.13,25,181
15,68,114,120,29.56,44.19,25,181
16,68,113,120,29.57,44.29,26,180
17,67,111,119,29.57,44.23,26,179
18,68,112,120,29.57,44.11,26,180
19,68,113,122,29.57,44.04,26,180
20,69,116,126,29.56,44.06,26,182
21,68,117,125,29.56,44.1,26,182
22,68,117,124,29.56,44.18,26,182
23,67,115,122,29.56,44.16,26,181
24,69,117,124,29.55,44.15,26,182
25,68,114,122,29.55,44.11,26,181
26,68,114,122,29.55,44.06,26,181
27,68,113,120,29.54,44.05,26,180
28,68,114,119,29.54,44.03,26,181
29,68,114,118,29.54,44.01,26,181
30,70,116,121,29.54,44.03,26,182
31,70,118,123,29.54,44.01,26,183
32,69,117,122,29.54,44,26,182
33,69,115,121,29.55,44.01,26,181
34,69,115,120,29.55,44,26,181
35,70,116,122,29.55,44.01,26,182
36,69,118,123,29.55,44.03,26,183
37,69,118,124,29.55,44.04,26,183
38,70,120,125,29.55,44.06,26,184
39,70,122,127,29.55,44.09,26,185
40,70,121,126,29.55,44.1,26,184
41,71,123,129,29.55,44.11,26,185
42,70,120,128,29.55,44.13,26,184
43,70,121,130,29.55,44.12,26,184
44,70,121,129,29.55,44.13,26,184
45,71,123,131,29.55,44.15,26,185
46,72,127,135,29.54,44.15,26,187
47,71,125,133,29.54,44.19,26,186
48,72,125,135,29.54,44.18,26,186
49,71,124,133,29.54,44.15,26,186
50,71,123,132,29.54,44.1,26,185
51,73,127,136,29.54,44.03,26,187
52,72,124,133,29.54,44.01,26,186
53,73,127,136,29.54,43.98,26,187
54,73,126,138,29.54,43.97,26,187
55,71,123,135,29.54,43.96,26,185
56,71,122,132,29.53,44,26,185
57,72,125,134,29.53,44.02,26,186
58,72,125,131,29.53,44.02,26,186
59,72,125,130,29.53,44,26,186
60,73,124,128,29.53,43.98,26,186
61,74,126,132,29.53,43.97,26,187
62,73,127,137,29.53,43.97,26,187
63,74,129,140,29.53,43.97,26,188
64,74,128,138,29.53,43.95,26,188
65,73,125,135,29.52,43.95,26,186
66,73,125,133,29.52,43.93,26,186
67,74,125,132,29.51,43.93,26,186
68,73,124,131,29.51,43.93,26,186
69,73,126,133,29.51,43.95,26,187
70,73,124,133,29.51,43.97,26,186
71,72,122,131,29.5,43.97,26,185
72,74,126,135,29.5,43.98,26,187
73,73,125,133,29.51,44,26,186
74,73,124,133,29.51,44.2,26,186
75,73,122,132,29.51,44.87,25,185
76,73,122,133,29.52,45.12,25,185
77,74,123,133,29.53,45.17,25,185
78,71,122,129,29.53,45.19,25,185
79,72,123,130,29.54,45.31,25,185
80,71,122,127,29.55,45.94,25,185
81,72,123,128,29.55,46.37,25,185
82,70,119,125,29.56,46.83,24,183
83,70,118,124,29.56,46.41,25,183
84,69,118,123,29.57,45.99,25,183
85,71,119,125,29.57,45.89,25,183
86,72,121,126,29.57,45.51,25,184
87,71,121,125,29.57,45.09,25,184
88,72,124,128,29.57,44.77,25,186
89,71,123,126,29.57,44.73,25,185
90,70,121,124,29.56,44.78,25,184
91,71,122,124,29.56,44.55,25,185
92,71,121,125,29.56,44.39,25,184
93,72,123,128,29.55,44.3,25,185
94,73,124,131,29.55,44.25,25,186
95,73,126,132,29.54,44.27,25,187
96,71,123,130,29.54,44.27,25,185
97,71,124,130,29.53,44.26,25,186
